generation,checkpoint_id,max_score,min_score,mean_score,cid_min_score,cid_max_score
1,browser/1/20190828-0801,86.0,30.0,68.64,1_1,1_23
2,browser/2/20190828-0801,86.0,30.0,76.52,2_13,2_24
3,browser/3/20190828-0801,86.0,30.0,73.52,3_22,3_19
4,browser/4/20190828-0801,86.0,30.0,70.36,4_5,4_24
5,browser/5/20190828-0801,86.0,38.0,75.64,5_16,5_24
