generation,checkpoint_id,max_score,min_score,mean_score,cid_min_score,cid_max_score
1,browser/1/20190828-0816,86.0,30.0,59.64,1_6,1_24
2,browser/2/20190828-0816,86.0,36.0,71.36,2_25,2_24
3,browser/3/20190828-0816,86.0,31.0,69.04,3_2,3_21
4,browser/4/20190828-0816,86.0,47.0,76.2,4_4,4_23
5,browser/5/20190828-0817,86.0,52.0,80.32,5_14,5_25
