generation,checkpoint_id,max_score,min_score,mean_score,cid_min_score,cid_max_score
1,XDE/1/20190828-0715,65.0,25.0,48.72,1_8,1_24
2,XDE/2/20190828-0715,69.0,32.0,56.04,2_7,2_13
3,XDE/3/20190828-0715,69.0,30.0,57.96,3_11,2_13
4,XDE/4/20190828-0715,69.0,26.0,52.88,4_12,2_13
5,XDE/5/20190828-0715,69.0,32.0,57.88,5_2,2_13
